npi,provider_type,state,entity_code,anomaly_score_raw,isolation_forest_anomaly_flag,risk_score_0_100,risk_category,lof_anomaly_flag,lof_score,leie_excluded_match,risk_reasons
1003053851,Internal Medicine,CA,I,0.21199473302231253,1,100.0,Critical,0,1.507493696092008,0,unusually high total Medicare payment received (z=4816.9 vs. population median); unusually high total submitted charges (z=1592.5 vs. population median); unusually high 5-year average total payment (z=1289.5 vs. population median); unusually high multi-year payment trend (z=611.3 vs. population median); unusually high total services billed (z=287.2 vs. population median)
1003133984,Nurse Practitioner,CA,I,0.18244062250365511,1,92.89,Critical,0,1.1153762036076957,0,unusually high total Medicare payment received (z=479.2 vs. population median); unusually high 5-year average total payment (z=309.6 vs. population median); unusually high total submitted charges (z=194.2 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=95.4 vs. population median); unusually high services per beneficiary (z=74.7 vs. population median)
1003133901,Dermatology,KY,I,0.1564175616364436,1,86.63,Critical,0,1.469275621178993,0,unusually high total Medicare payment received (z=416.7 vs. population median); unusually high 5-year average total payment (z=339.3 vs. population median); unusually high total submitted charges (z=143.8 vs. population median); unusually high payment-per-service deviation from specialty peers (z=34.7 vs. population median); unusually high payment per service (z=32.3 vs. population median)
1003002205,Certified Registered Nurse Anesthetist (CRNA),TX,I,0.15276485943319196,1,85.75,Critical,1,1.7986030514687996,0,unusually high services-per-beneficiary deviation from specialty peers (z=6628.7 vs. population median); unusually high year-over-year payment change (z=781.0 vs. population median); unusually high multi-year payment trend (z=362.9 vs. population median); unusually high year-over-year payment-per-service change (z=203.5 vs. population median); unusually high services per beneficiary (z=87.5 vs. population median)
1003086448,Rheumatology,MD,I,0.14861293363095585,1,84.76,Critical,0,1.0925477382189475,0,unusually high drug-payment-share deviation from specialty peers (z=1104.0 vs. population median); unusually high total services billed (z=285.5 vs. population median); unusually high 5-year average total services (z=120.4 vs. population median); unusually high total Medicare payment received (z=66.2 vs. population median); unusually high total submitted charges (z=57.8 vs. population median)
1003128703,Hematology-Oncology,FL,I,0.14042703812231772,1,82.79,Critical,0,1.059324022829705,0,unusually high 5-year average total services (z=565.7 vs. population median); unusually high total services billed (z=296.3 vs. population median); unusually high 5-year average total payment (z=98.2 vs. population median); unusually high 5-year average services per beneficiary (z=96.9 vs. population median); unusually high services per beneficiary (z=76.4 vs. population median)
1003109075,Rheumatology,MI,I,0.1336063033250663,1,81.15,Critical,0,1.016010420192311,0,unusually high drug-payment-share deviation from specialty peers (z=1185.5 vs. population median); unusually high services per beneficiary (z=170.5 vs. population median); unusually high total services billed (z=121.7 vs. population median); unusually high 5-year average services per beneficiary (z=89.4 vs. population median); unusually high services-per-beneficiary deviation from specialty peers (z=75.0 vs. population median)
1003031212,Hematology-Oncology,FL,I,0.12817095754790864,1,79.84,Critical,0,1.0372687420372273,0,unusually high 5-year average total services (z=675.4 vs. population median); unusually high total services billed (z=538.4 vs. population median); unusually high 5-year average total payment (z=114.8 vs. population median); unusually high services per beneficiary (z=107.1 vs. population median); unusually high services per billing code (z=88.9 vs. population median)
1003036997,Orthopedic Surgery,MO,I,0.12573906632060272,1,79.25,Critical,0,1.0292887282086023,0,unusually high drug-payment-share deviation from specialty peers (z=268.3 vs. population median); unusually high services per beneficiary (z=141.5 vs. population median); unusually high 5-year average services per beneficiary (z=132.6 vs. population median); unusually high total services billed (z=86.8 vs. population median); unusually high 5-year average total services (z=77.7 vs. population median)
1003079997,Hematology-Oncology,IA,I,0.12061095645947306,1,78.02,Critical,0,1.0304996379552764,0,unusually high total services billed (z=154.6 vs. population median); unusually high 5-year average total services (z=140.1 vs. population median); unusually high services per beneficiary (z=98.9 vs. population median); unusually high 5-year average services per beneficiary (z=97.3 vs. population median); unusually high total Medicare payment received (z=52.5 vs. population median)
